year,institute_original,institute_norm,rank,score,perception,institute,rank_prev,score_prev,rank_change,score_change,volatility,perception_gap
2018,Alagappa University,alagappa university,43.0,48.25,24.5,Alagappa University,,,,,8.82,23.75
2019,Alagappa University,alagappa university,47.0,48.54,26.65,Alagappa University,43.0,48.25,-4.0,0.29,8.82,21.89
2020,Alagappa University,alagappa university,57.0,46.79,23.34,Alagappa University,47.0,48.54,-10.0,-1.75,8.82,23.45
2021,Alagappa University,alagappa university,57.0,46.79,23.34,Alagappa University,57.0,46.79,0.0,0.0,8.82,23.45
2022,Alagappa University,alagappa university,53.0,49.73,18.45,Alagappa University,57.0,46.79,4.0,2.94,8.82,31.28
2023,Alagappa University,alagappa university,56.0,50.99,15.54,Alagappa University,53.0,49.73,-3.0,1.26,8.82,35.45
2025,Alagappa University,alagappa university,73.0,52.27,27.2,Alagappa University,56.0,50.99,-17.0,1.28,8.82,25.07
2017,Aligarh Muslim University,aligarh muslim university,19.0,52.74,16.62,Aligarh Muslim University,,,,,0.7,36.12
2018,Aligarh Muslim University,aligarh muslim university,17.0,57.78,26.3,Aligarh Muslim University,19.0,52.74,2.0,5.04,0.7,31.48
2019,Aligarh Muslim University,aligarh muslim university,18.0,58.36,18.46,Aligarh Muslim University,17.0,57.78,-1.0,0.58,0.7,39.9
2020,Aligarh Muslim University,aligarh muslim university,18.0,57.38,27.0,Aligarh Muslim University,18.0,58.36,0.0,-0.98,0.7,30.38
2021,Aligarh Muslim University,aligarh muslim university,18.0,57.38,27.0,Aligarh Muslim University,18.0,57.38,0.0,0.0,0.7,30.38
2022,Aligarh Muslim University,aligarh muslim university,19.0,59.86,27.85,Aligarh Muslim University,18.0,57.38,-1.0,2.48,0.7,32.01
2023,Aligarh Muslim University,aligarh muslim university,19.0,62.27,26.4,Aligarh Muslim University,19.0,59.86,0.0,2.41,0.7,35.87
2025,Aligarh Muslim University,aligarh muslim university,19.0,63.76,26.77,Aligarh Muslim University,19.0,62.27,0.0,1.49,0.7,36.99
2022,"All India Institute of Medical Sciences, Delhi",all india institute of medical sciences delhi,9.0,69.57,75.15,"All India Institute of Medical Sciences, Delhi",,,,,1.25,-5.58
2023,"All India Institute of Medical Sciences, Delhi",all india institute of medical sciences delhi,6.0,72.14,75.23,"All India Institute of Medical Sciences, Delhi",9.0,69.57,3.0,2.57,1.25,-3.09
2025,"All India Institute of Medical Sciences, Delhi",all india institute of medical sciences delhi,8.0,70.57,75.4,"All India Institute of Medical Sciences, Delhi",6.0,72.14,-2.0,-1.57,1.25,-4.83
2023,"All India Institute of Medical Sciences, Rishikesh",all india institute of medical sciences rishikesh,86.0,47.89,9.48,"All India Institute of Medical Sciences, Rishikesh",,,,,0.0,38.41
2025,All India Institute of Medical Sciences Bhubaneswar,all india institute of medical sciences bhubaneswar,100.0,49.04,20.28,All India Institute of Medical Sciences Bhubaneswar,,,,,0.0,28.76
2022,All India Institute of Medical Sciences Jodhpur,all india institute of medical sciences jodhpur,86.0,45.81,4.3,All India Institute of Medical Sciences Jodhpur,,,,,0.0,41.51
2025,All India Institute of Medical Sciences Rishikesh,all india institute of medical sciences rishikesh,78.0,51.77,14.36,All India Institute of Medical Sciences Rishikesh,,,,,0.0,37.41
2017,AMITY University,amity university,86.0,39.17,18.06,AMITY University,,,,,19.63,21.11
2018,Amity University,amity university,80.0,42.99,5.4,Amity University,86.0,39.17,6.0,3.82,19.63,37.59
2019,Amity University,amity university,84.0,43.53,7.22,Amity University,80.0,42.99,-4.0,0.54,19.63,36.31
2020,Amity University,amity university,43.0,48.87,12.18,Amity University,84.0,43.53,41.0,5.34,19.63,36.69
2021,Amity University,amity university,43.0,48.87,12.18,Amity University,43.0,48.87,0.0,0.0,19.63,36.69
2022,Amity University,amity university,42.0,51.07,13.43,Amity University,43.0,48.87,1.0,2.2,19.63,37.64
2023,Amity University,amity university,57.0,50.88,16.65,Amity University,42.0,51.07,-15.0,-0.19,19.63,34.23
2025,Amity University,amity university,37.0,57.49,7.11,Amity University,57.0,50.88,20.0,6.61,19.63,50.38
2017,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,16.0,54.7,26.12,Amrita Vishwa Vidyapeetham,,,,,1.71,28.58
2018,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,15.0,58.46,31.44,Amrita Vishwa Vidyapeetham,16.0,54.7,1.0,3.76,1.71,27.02
2019,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,15.0,59.22,31.01,Amrita Vishwa Vidyapeetham,15.0,58.46,0.0,0.76,1.71,28.21
2020,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,12.0,59.87,34.8,Amrita Vishwa Vidyapeetham,15.0,59.22,3.0,0.65,1.71,25.07
2021,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,12.0,59.87,34.8,Amrita Vishwa Vidyapeetham,12.0,59.87,0.0,0.0,1.71,25.07
2022,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,16.0,61.54,38.09,Amrita Vishwa Vidyapeetham,12.0,59.87,-4.0,1.67,1.71,23.45
2023,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,15.0,62.74,35.71,Amrita Vishwa Vidyapeetham,16.0,61.54,1.0,1.2,1.71,27.03
2025,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,17.0,64.97,30.67,Amrita Vishwa Vidyapeetham,15.0,62.74,-2.0,2.23,1.71,34.3
2017,Anand Agricultural University,anand agricultural university,62.0,42.26,2.75,Anand Agricultural University,,,,,17.0,39.51
2019,Anand Agricultural University,anand agricultural university,96.0,41.2,7.22,Anand Agricultural University,62.0,42.26,-34.0,-1.06,17.0,33.98
2017,Andhra University,andhra university,69.0,41.38,20.72,Andhra University,,,,,17.44,20.66
2018,Andhra University,andhra university,36.0,50.39,9.53,Andhra University,69.0,41.38,33.0,9.01,17.44,40.86
2019,Andhra University,andhra university,29.0,52.11,14.55,Andhra University,36.0,50.39,7.0,1.72,17.44,37.56
2020,"Andhra University, Visakhapatnam",andhra university visakhapatnam,48.0,48.65,18.37,"Andhra University, Visakhapatnam",,,,,13.96,30.28
2021,"Andhra University, Visakhapatnam",andhra university visakhapatnam,48.0,48.65,18.37,"Andhra University, Visakhapatnam",48.0,48.65,0.0,0.0,13.96,30.28
2022,"Andhra University, Visakhapatnam",andhra university visakhapatnam,71.0,47.97,15.04,"Andhra University, Visakhapatnam",48.0,48.65,-23.0,-0.68,13.96,32.93
2023,"Andhra University, Visakhapatnam",andhra university visakhapatnam,76.0,48.54,16.92,"Andhra University, Visakhapatnam",71.0,47.97,-5.0,0.57,13.96,31.62
2025,"Andhra University, Visakhapatnam",andhra university visakhapatnam,41.0,56.62,14.07,"Andhra University, Visakhapatnam",76.0,48.54,35.0,8.08,13.96,42.55
2017,Anna University,anna university,13.0,56.5,43.94,Anna University,,,,,6.34,12.56
2018,Anna University,anna university,10.0,62.82,63.22,Anna University,13.0,56.5,3.0,6.32,6.34,-0.4
2019,Anna University,anna university,14.0,60.35,62.72,Anna University,10.0,62.82,-4.0,-2.47,6.34,-2.37
2020,Anna University,anna university,25.0,54.42,61.72,Anna University,14.0,60.35,-11.0,-5.93,6.34,-7.3
2021,Anna University,anna university,25.0,54.42,61.72,Anna University,25.0,54.42,0.0,0.0,6.34,-7.3
